TIME(ns),FREQ(Hz)
446875000,        160
447125000,        160
447375000,        160
447625000,        160
447875000,        160
448125000,        160
448375000,        160
448625000,        160
448875000,        160
449125000,        160
449375000,        160
449625000,        160
449875000,        160
450125000,        160
450375000,        160
450625000,        160
450875000,        160
451125000,        160
451375000,        160
451625000,        160
451875000,        160
452125000,        160
452375000,        160
452625000,        160
452875000,        160
453125000,        160
453375000,        160
453625000,        160
453875000,        160
454125000,        160
454375000,        160
454625000,        160
454875000,        160
455125000,        160
455375000,        160
455625000,        160
455875000,        160
456125000,        160
456375000,        160
456625000,        160
456875000,        160
457125000,        160
457375000,        160
457625000,        160
457875000,        160
458125000,        160
458375000,        160
458625000,        160
458875000,        160
459125000,        160
459375000,        160
459625000,        160
459875000,        160
460125000,        160
460375000,        160
460625000,        160
460875000,        160
461125000,        160
461375000,        160
461625000,        160
461875000,        160
462125000,        160
462375000,        160
462625000,        160
462875000,        160
463125000,        160
463375000,        160
463625000,        160
463875000,        160
464125000,        160
464375000,        160
464625000,        160
464875000,        160
465125000,        160
465375000,        160
465625000,        160
465875000,        160
466125000,        160
466375000,        160
466625000,        160
466875000,        160
467125000,        160
467375000,        160
467625000,        160
467875000,        160
468125000,        160
468375000,        160
468625000,        160
468875000,        160
469125000,        160
469375000,        160
469625000,        160
469875000,        160
470125000,        160
470375000,        160
470625000,        160
470875000,        160
471125000,        160
471375000,        160
471625000,        160
471875000,        160
472125000,        160
472375000,        160
472625000,        160
472875000,        160
473125000,        160
473375000,        160
473625000,        160
473875000,        160
474125000,        160
474375000,        160
474625000,        160
474875000,        160
475125000,        160
475375000,        160
475625000,        160
475875000,        160
476125000,        160
476375000,        160
476625000,        160
476875000,        160
477125000,        160
477375000,        160
477625000,        160
477875000,        160
478125000,        160
478375000,        160
478625000,        160
478875000,        160
479125000,        160
479375000,        160
479625000,        160
479875000,        160
480125000,        160
480375000,        160
480625000,        160
480875000,        160
481125000,        160
481375000,        160
481625000,        160
481875000,        160
482125000,        160
482375000,        160
482625000,        160
482875000,        160
483125000,        160
483375000,        160
483625000,        160
483875000,        160
484125000,        160
484375000,        160
484625000,        160
484875000,        160
485125000,        160
485375000,        160
485625000,        160
485875000,        160
486125000,        160
486375000,        160
486625000,        160
486875000,        160
487125000,        160
487375000,        160
487625000,        160
487875000,        160
488125000,        160
488375000,        160
488625000,        160
488875000,        160
489125000,        160
489375000,        160
489625000,        160
489875000,        160
490125000,        160
490375000,        160
490625000,        160
490875000,        160
491125000,        160
491375000,        160
491625000,        160
491875000,        160
492125000,        160
492375000,        160
492625000,        160
492875000,        160
493125000,        160
493375000,        160
493625000,        160
493875000,        160
